CHEMICAL VVL,CHEMICAL NAME,NATURALLY OCCURRING,UNITS,COMPARISON CONCENTRATION (VALUE),COMPARISON CONCENTRATION TYPE,DDW (WQM),DDW (SDWIS),DPR,DWR,WB CLEANUP (EDF),GAMA DOM (EL_DORADO),GAMA SP-STUDY (LLNL),GAMA DOM (TEHAMA),GAMA USGS,GAMA DOM (YUBA),WRD,USGS (NWIS)
DCE11,"1,1 Dichloroethylene (1,1 DCE)",,UG/L,6,MCL,34501,2977,,"1,1-Dichloroethene",DCE11,"1,1-Dichloroethene/ 1,1-Dichloroethylene ",,DCE11,"1,1-Dichloroethene, wu","1,1-Dichloroethene/ 1,1-Dichloroethylene ",34501,"1,1-Dichloroethene, water, unfiltered, recoverable, micrograms per liter"
TCA111,"1,1,1-Trichloroethane",,UG/L,200,MCL,34506,2981,,"1,1,1-Trichloroethane",TCA111,"1,1,1-Trichloroethane ",,TCA111,"1,1,1-Trichloroethane, wu","1,1,1-Trichloroethane ",34506,"1,1,1-Trichloroethane, water, unfiltered, recoverable, micrograms per liter"
PCA,"1,1,2,2 Tetrachloroethane (PCA)",,UG/L,1,MCL,34516,2988,,"1,1,2,2-Tetrachloroethane",PCA,"1,1,2,2-Tetrachloroethane ",,,"1,1,2,2-Tetrachloroethane, wu","1,1,2,2-Tetrachloroethane ",34516,"1,1,2,2-Tetrachloroethane, water, unfiltered, recoverable, micrograms per liter"
FC113,"1,1,2-Trichloro-1,2,2-Trifluoroethane (Freon 113)",,MG/L,1.2,MCL,81611,2904,,,FC113,Trichlorotrifluoroethane (FREON 113),,FC113,"CFC-113, wu",,81611,"1,1,2-Trichloro-1,2,2-trifluoroethane, for age dating, water, unfiltered, recoverable, picograms per kilogram -- 1,1,2-Trichloro-1,2,2-trifluoroethane, water, unfiltered, recoverable, micrograms per liter"
TCA112,"1,1,2-Trichloroethane",,UG/L,5,MCL,34511,2985,,"1,1,2-Trichloroethane",TCA112,"1,1,2-Trichloroethane ",,TCA112,"1,1,2-Trichloroethane, wu","1,1,2-Trichloroethane ",34511,"1,1,2-Trichloroethane, water, unfiltered, recoverable, micrograms per liter"
DCA11,"1,1-Dichloroethane (1,1 DCA)",,UG/L,5,MCL,34496,2978,,"1,1-Dichloroethane",DCA11,"1,1-Dichloroethane ",,DCA11,"1,1-Dichloroethane, wu","1,1-Dichloroethane ",34496,"1,1-Dichloroethane, water, unfiltered, recoverable, micrograms per liter"
EDB,"1,2 Dibromoethane (EDB)",,UG/L,0.05,MCL,77651,2946,271,"1,2-Dibromoethane (EDB)",EDB,"1,2-Dibromoethane (EDB)",,,"1,2-Dibromoethane, wu",,77651,"1,2-Dibromoethane, water, unfiltered, recoverable, micrograms per liter"
DCBZ12,"1,2 Dichlorobenzene (1,2-DCB)",,UG/L,600,MCL,34536,2968,578 -- 90683,"1,2-Dichlorobenzene",DCBZ12,"1,2-Dichlorobenzene ",,DCBZ12,"1,2-Dichlorobenzene, wu","1,2-Dichlorobenzene ",34536,
DCA12,"1,2 Dichloroethane (1,2 DCA)",,UG/L,0.5,MCL,34531,2980,,"1,2-Dichloroethane",DCA12,"1,2-Dichloroethane ",,DCA12,"1,2-Dichloroethane, wu","1,2-Dichloroethane ",34531,"1,2-Dichloroethane, water, unfiltered, recoverable, micrograms per liter"
DCPA12,"1,2 Dichloropropane (1,2 DCP)",,UG/L,5,MCL,34541,2983,2501,"1,2-Dichloropropane",DCPA12,"1,2-Dichloropropane ",,DCPA12,"1,2-Dichloropropane, wu","1,2-Dichloropropane ",34541,"1,2-Dichloropropane, water, unfiltered, recoverable, micrograms per liter"
TCPR123,"1,2,3-Trichloropropane (1,2,3 TCP)",,UG/L,0.005,MCL,77443 -- 7744X,2414 -- 2414,,"1,2,3-Trichloropropane",TCPR123,"1,2,3-Trichloropropane ",,,"1,2,3-Trichloropropane, wu","1,2,3-Trichloropropane ",77443 -- 7744X,"1,2,3-Trichloropropane, water, unfiltered, recoverable, micrograms per liter"
TCB124,"1,2,4- Trichlorobenzene (1,2,4 TCB)",,UG/L,5,MCL,34551,2378,,"1,2,4-Trichlorobenzene",TCB124,"1,2,4-Trichlorobenzene ",,TCB124,"1,2,4-Trichlorobenzene, wu","1,2,4-Trichlorobenzene ",34551,"1,2,4-Trichlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram -- 1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter"
TMB124,"1,2,4-Trimethylbenzene",,UG/L,330,NL,77222,2418,,"1,2,4-Trimethylbenzene",TMB124,"1,2,4-Trimethylbenzene ",,TMB124,,"1,2,4-Trimethylbenzene ",77222,"1,2,4-Trimethylbenzene, water, unfiltered, recoverable, micrograms per liter"
DBCP,"1,2-Dibromo-3-chloropropane (DBCP)",,UG/L,0.2,MCL,38761,2931,183,"1,2-Dibromo-3-chloropropane (DBCP)",DBCP,"1,2-Dibromo-3-Chloropropane ",,,"Dibromochloropropane, wu",,38761,"1,2-Dibromo-3-chloropropane, water, unfiltered, recoverable, micrograms per liter"
DCE12TOT,"1,2-Dichloroethene",,UG/L,0,No Comparison Conc.,,,,,DCE12TOT,,,,,,,
