"GEOID","wq_risk","comb_risk","wq_score","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status"
"060014017002",0,0,0,0,1902,0,0,0,0,"None"
"060014017003",0,0,0,0,82,0,0,0,0,"Data Not Available"
"060014018002",0,0,0,0,816,0,0,0,0,"SDAC"
"060014022001",0,0,0,0,1146,0,0,0,0,"DAC"
"060014027002",0,0,0,0,1148,0,0,0,0,"None"
"060014061002",0,0,0,0,459,0,0,0,0,"None"
"060014073001",0,0,0,0,1296,0,0,0,0,"SDAC"
"060014073002",0,0,0,0,1144,0,0,0,0,"DAC"
"060014075002",0,0,0,0,2404,0,0,0,0,"SDAC"
"060014078001",0,0,0,0,925,0,0,0,0,"Data Not Available"
"060014078002",0,0,0,0,1069,0,0,0,0,"None"
"060014079001",0,0,0,0,796,0,0,0,0,"None"
"060014079002",0,0,0,0,1127,0,0,0,0,"Data Not Available"
"060014079003",0,0,0,0,1151,0,0,0,0,"None"
"060014082001",0,0,0,0,1542,0,0,0,0,"None"
"060014083001",0,0,0,0,788,0,0,0,0,"None"
"060014084001",0,0,0,0,1706,0,0,0,0,"SDAC"
"060014085001",0,0,0,0,926,0,0,0,0,"DAC"
"060014085002",0,0,0,0,1373,0,0,0,0,"DAC"
"060014085003",0,0,0,0,828,0,0,0,0,"DAC"
"060014085004",0,0,0,0,972,0,0,0,0,"None"
"060014085005",0,0,0,0,1898,0,0,0,0,"None"
"060014086001",0,0,0,0,1801,0,0,0,0,"SDAC"
"060014086002",0,0,0,0,2152,0,0,0,0,"DAC"
"060014086003",0,0,0,0,1804,0,0,0,0,"SDAC"
"060014086004",0,0,0,0,1190,0,0,0,0,"DAC"
"060014087002",0,0,0,0,1915,0,0,0,0,"Data Not Available"
"060014087003",0,0,0,0,1536,0,0,0,0,"None"
"060014087004",0,0,0,0,1128,0,0,0,0,"SDAC"
"060014087005",0,0,0,0,1093,0,0,0,0,"DAC"
"060014088001",0,0,0,0,1659,0,0,0,0,"DAC"
"060014088002",0,0,0,0,2383,0,0,0,0,"SDAC"
"060014088003",0,0,0,0,867,0,0,0,0,"SDAC"
"060014088004",0,0,0,0,2145,0,0,0,0,"SDAC"
"060014089001",0,0,0,0,1553,0,0,0,0,"SDAC"
"060014089002",0,0,0,0,1562,0,0,0,0,"DAC"
"060014090002",0,0,0,0,0,0,0,0,0,"Data Not Available"
"060014090004",0,0,0,0,0,0,0,0,0,"Data Not Available"
"060014095001",0,0,0,0,1795,0,0,0,0,"SDAC"
"060014095002",0,0,0,0,1286,0,0,0,0,"DAC"
"060014095003",0,0,0,0,1191,0,0,0,0,"DAC"
"060014096005",0,0,0,0,1839,0,0,0,0,"DAC"
"060014305002",0,0,0,0,1675,0,0,0,0,"DAC"
"060014334002",0,0,0,0,925,0,0,0,0,"None"
"060014339001",0,0,0,0,2416,0,0,0,0,"SDAC"
"060014339002",0,0,0,0,1663,0,0,0,0,"DAC"
"060014339003",0,0,0,0,1304,0,0,0,0,"None"
"060014403041",0,0,0,0,1214,0,0,0,0,"None"
"060014403361",0,0,0,0,1858,0,0,0,0,"None"
"060014415032",0,0,0,0,1897,0,0,0,0,"None"
"060014415212",0,0,0,0,1725,0,0,0,0,"None"
"060014415231",0,0,0,0,1764,0,0,0,0,"None"
"060014415232",0,0,0,0,1304,0,0,0,0,"None"
"060014418001",0,0,0,0,2464,0,0,0,0,"None"
"060014419211",0,0,0,0,1570,0,0,0,0,"None"
"060014419212",0,0,0,0,2514,0,0,0,0,"None"
"060014426011",0,0,0,0,1464,0,0,0,0,"None"
"060014426012",0,0,0,0,2711,0,0,0,0,"None"
"060014427001",0,0,0,0,1025,0,0,0,0,"None"
"060014441001",0,0,0,0,3104,0,0,0,0,"None"
"060014441002",0,0,0,0,1320,0,0,0,0,"None"
"060014441003",0,0,0,0,1755,0,0,0,0,"None"
"060014441004",0,0,0,0,1517,0,0,0,0,"None"
"060014442001",0,0,0,0,1704,0,0,0,0,"None"
"060014442003",0,0,0,0,2831,0,0,0,0,"None"
"060014444001",0,0,0,0,1129,0,0,0,0,"None"
"060014444002",0,0,0,0,2331,0,0,0,0,"None"
"060014445001",0,0,0,0,1199,0,0,0,0,"None"
"060014445002",0,0,0,0,1719,0,0,0,0,"None"
"060014445003",0,0,0,0,1733,0,0,0,0,"None"
"060014506032",0,0,0,0,739,0,0,0,0,"None"
"060014506061",0,0,0,0,2383,0,0,0,0,"None"
"060133131011",0,0,0,0,2004,0,0,0,0,"None"
"060133131012",0,0,0,0,1850,0,0,0,0,"SDAC"
"060133131033",0,0,0,0,1684,0,0,0,0,"None"
"060133132041",0,0,0,0,2714,0,0,0,0,"DAC"
"060290009043",0,0,0,0,1444,0,0,0,0,"DAC"
"060290012011",0,0,0,0,1605,0,0,0,0,"SDAC"
"060290013001",0,0,0,0,1516,0,0,0,0,"SDAC"
"060290013002",0,0,0,0,929,0,0,0,0,"SDAC"
"060290014002",0,0,0,0,1799,0,0,0,0,"SDAC"
"060290014003",0,0,0,0,1139,0,0,0,0,"SDAC"
"060371033001",0,0,0,0,1866,0,0,0,0,"None"
"060371041051",0,0,0,0,2269,0,0,0,0,"None"
"060371041052",0,0,0,0,3921,0,0,0,0,"SDAC"
"060371041081",0,0,0,0,1919,0,0,0,0,"DAC"
"060371041082",0,0,0,0,2050,0,0,0,0,"DAC"
"060371041083",0,0,0,0,1451,0,0,0,0,"None"
"060371042031",0,0,0,0,2967,0,0,0,0,"SDAC"
"060371042041",0,0,0,0,1743,0,0,0,0,"SDAC"
"060371043202",0,0,0,0,544,0,0,0,0,"SDAC"
"060371043203",0,0,0,0,1475,0,0,0,0,"DAC"
"060371044041",0,0,0,0,1182,0,0,0,0,"SDAC"
"060371047011",0,0,0,0,1758,0,0,0,0,"SDAC"
