"GEOID","CRF1","CRF2","CRF3","CL1","CL2","highsec","medsec","datasec","areasec","CRF4","wq_score","datacov","wq_risk","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status","prio1","comb_risk"
60014017002,0,0,0,"","",0,0,1,3,0,0,33.33,0,0,1902,0,0,0,0,"None",0,0
60014017003,0,0,0,"","",0,0,1,7,0,0,14.29,0,0,82,0,0,0,0,"Data Not Available",0,0
60014018002,0,0,0,"","",0,0,1,2,0,0,50,0,0,816,0,0,0,0,"SDAC",0,0
60014022001,0,0,0,"","",0,0,2,4,0,0,50,0,0,1146,0,0,0,0,"DAC",0,0
60014027002,0,0,0,"","",0,0,1,4,0,0,25,0,0,1148,0,0,0,0,"None",0,0
60014061002,0,0,0,"","",0,0,1,4,0,0,25,0,0,459,0,0,0,0,"None",0,0
60014073001,0,0,0,"","",0,0,2,4,0,0,50,0,0,1296,0,0,0,0,"SDAC",0,0
60014073002,0,0,0,"","",0,0,2,4,0,0,50,0,0,1144,0,0,0,0,"DAC",0,0
60014075002,0,0,0,"","",0,0,1,2,0,0,50,0,0,2404,0,0,0,0,"SDAC",0,0
60014078001,0,0,0,"","",0,0,1,3,0,0,33.33,0,0,925,0,0,0,0,"Data Not Available",0,0
60014078002,0,0,0,"","",0,0,1,4,0,0,25,0,0,1069,0,0,0,0,"None",0,0
60014079001,0,0,0,"","",0,0,2,2,0,0,100,0,0,796,0,0,0,0,"None",0,0
60014079002,0,0,0,"","",0,0,1,1,0,0,100,0,0,1127,0,0,0,0,"Data Not Available",0,0
60014079003,0,0,0,"","",0,0,1,2,0,0,50,0,0,1151,0,0,0,0,"None",0,0
60014082001,0,0,0,"","",0,0,1,3,0,0,33.33,0,0,1542,0,0,0,0,"None",0,0
60014083001,0,0,0,"","",0,0,1,3,0,0,33.33,0,0,788,0,0,0,0,"None",0,0
60014084001,0,0,0,"","",0,0,1,3,0,0,33.33,0,0,1706,0,0,0,0,"SDAC",0,0
60014085001,0,0,0,"","",0,0,1,2,0,0,50,0,0,926,0,0,0,0,"DAC",0,0
60014085002,0,0,0,"","",0,0,1,1,0,0,100,0,0,1373,0,0,0,0,"DAC",0,0
60014085003,0,0,0,"","",0,0,1,1,0,0,100,0,0,828,0,0,0,0,"DAC",0,0
60014085004,0,0,0,"","",0,0,1,1,0,0,100,0,0,972,0,0,0,0,"None",0,0
60014085005,0,0,0,"","",0,0,1,1,0,0,100,0,0,1898,0,0,0,0,"None",0,0
60014086001,0,0,0,"","",0,0,1,2,0,0,50,0,0,1801,0,0,0,0,"SDAC",0,0
60014086002,0,0,0,"","",0,0,2,3,0,0,66.67,0,0,2152,0,0,0,0,"DAC",0,0
60014086003,0,0,0,"","",0,0,1,2,0,0,50,0,0,1804,0,0,0,0,"SDAC",0,0
60014086004,0,0,0,"","",0,0,2,2,0,0,100,0,0,1190,0,0,0,0,"DAC",0,0
60014087002,0,0,0,"","",0,0,1,2,0,0,50,0,0,1915,0,0,0,0,"Data Not Available",0,0
60014087003,0,0,0,"","",0,0,2,4,0,0,50,0,0,1536,0,0,0,0,"None",0,0
60014087004,0,0,0,"","",0,0,1,2,0,0,50,0,0,1128,0,0,0,0,"SDAC",0,0
60014087005,0,0,0,"","",0,0,1,3,0,0,33.33,0,0,1093,0,0,0,0,"DAC",0,0
60014088001,0,0,0,"","",0,0,2,2,0,0,100,0,0,1659,0,0,0,0,"DAC",0,0
60014088002,0,0,0,"","",0,0,1,1,0,0,100,0,0,2383,0,0,0,0,"SDAC",0,0
60014088003,0,0,0,"","",0,0,1,1,0,0,100,0,0,867,0,0,0,0,"SDAC",0,0
60014088004,0,0,0,"","",0,0,1,1,0,0,100,0,0,2145,0,0,0,0,"SDAC",0,0
60014089001,0,0,0,"","",0,0,4,4,0,0,100,0,0,1553,0,0,0,0,"SDAC",0,0
60014089002,0,0,0,"","",0,0,3,3,0,0,100,0,0,1562,0,0,0,0,"DAC",0,0
60014090002,0,0,0,"","",0,0,6,7,0,0,85.71,0,0,0,0,0,0,0,"Data Not Available",0,0
60014090004,0,0,0,"","",0,0,5,13,0,0,38.46,0,0,0,0,0,0,0,"Data Not Available",0,0
60014095001,0,0,0,"","",0,0,3,3,0,0,100,0,0,1795,0,0,0,0,"SDAC",0,0
60014095002,0,0,0,"","",0,0,2,2,0,0,100,0,0,1286,0,0,0,0,"DAC",0,0
60014095003,0,0,0,"","",0,0,2,2,0,0,100,0,0,1191,0,0,0,0,"DAC",0,0
60014096005,0,0,0,"","",0,0,2,2,0,0,100,0,0,1839,0,0,0,0,"DAC",0,0
60014305002,0,0,0,"","",0,0,1,1,0,0,100,0,0,1675,0,0,0,0,"DAC",0,0
60014334002,0,0,0,"","",0,0,2,2,0,0,100,0,0,925,0,0,0,0,"None",0,0
60014339001,0,0,0,"","",0,0,2,2,0,0,100,0,0,2416,0,0,0,0,"SDAC",0,0
60014339002,0,0,0,"","",0,0,2,2,0,0,100,0,0,1663,0,0,0,0,"DAC",0,0
60014339003,0,0,0,"","",0,0,2,2,0,0,100,0,0,1304,0,0,0,0,"None",0,0
60014403041,0,0,0,"","",0,0,2,2,0,0,100,0,0,1214,0,0,0,0,"None",0,0
60014403361,0,0,0,"","",0,0,1,1,0,0,100,0,0,1858,0,0,0,0,"None",0,0
60014415032,0,0,0,"","",0,0,2,4,0,0,50,0,0,1897,0,0,0,0,"None",0,0
60014415212,0,0,0,"","",0,0,1,1,0,0,100,0,0,1725,0,0,0,0,"None",0,0
60014415231,0,0,0,"","",0,0,1,2,0,0,50,0,0,1764,0,0,0,0,"None",0,0
60014415232,0,0,0,"","",0,0,1,2,0,0,50,0,0,1304,0,0,0,0,"None",0,0
60014418001,0,0,0,"","",0,0,1,1,0,0,100,0,0,2464,0,0,0,0,"None",0,0
60014419211,0,0,0,"","",0,0,2,2,0,0,100,0,0,1570,0,0,0,0,"None",0,0
60014419212,0,0,0,"","",0,0,2,2,0,0,100,0,0,2514,0,0,0,0,"None",0,0
60014426011,0,0,0,"","",0,0,2,2,0,0,100,0,0,1464,0,0,0,0,"None",0,0
60014426012,0,0,0,"","",0,0,1,1,0,0,100,0,0,2711,0,0,0,0,"None",0,0
