GEOID,CRF1,CRF2,CRF3,CL1,CL2,highsec,medsec,datasec,areasec,CRF4,wq_score,wq_per,datacov
60014017002,0,0,0,,,0,0,1,3,0,0,0,33.33
60014017003,0,0,0,,,0,0,1,7,0,0,0,14.29
60014018002,0,0,0,,,0,0,1,2,0,0,0,50
60014022001,0,0,0,,,0,0,2,4,0,0,0,50
60014027002,0,0,0,,,0,0,1,4,0,0,0,25
60014061002,0,0,0,,,0,0,1,4,0,0,0,25
60014073001,0,0,0,,,0,0,2,4,0,0,0,50
60014073002,0,0,0,,,0,0,2,4,0,0,0,50
60014075002,0,0,0,,,0,0,1,2,0,0,0,50
60014078001,0,0,0,,,0,0,1,3,0,0,0,33.33
60014078002,0,0,0,,,0,0,1,4,0,0,0,25
60014079001,0,0,0,,,0,0,2,2,0,0,0,100
60014079002,0,0,0,,,0,0,1,1,0,0,0,100
60014079003,0,0,0,,,0,0,1,2,0,0,0,50
60014082001,0,0,0,,,0,0,1,3,0,0,0,33.33
60014083001,0,0,0,,,0,0,1,3,0,0,0,33.33
60014084001,0,0,0,,,0,0,1,3,0,0,0,33.33
60014085001,0,0,0,,,0,0,1,2,0,0,0,50
60014085002,0,0,0,,,0,0,1,1,0,0,0,100
60014085003,0,0,0,,,0,0,1,1,0,0,0,100
60014085004,0,0,0,,,0,0,1,1,0,0,0,100
60014085005,0,0,0,,,0,0,1,1,0,0,0,100
60014086001,0,0,0,,,0,0,1,2,0,0,0,50
60014086002,0,0,0,,,0,0,2,3,0,0,0,66.67
60014086003,0,0,0,,,0,0,1,2,0,0,0,50
60014086004,0,0,0,,,0,0,2,2,0,0,0,100
60014087002,0,0,0,,,0,0,1,2,0,0,0,50
60014087003,0,0,0,,,0,0,2,4,0,0,0,50
60014087004,0,0,0,,,0,0,1,2,0,0,0,50
60014087005,0,0,0,,,0,0,1,3,0,0,0,33.33
60014088001,0,0,0,,,0,0,2,2,0,0,0,100
60014088002,0,0,0,,,0,0,1,1,0,0,0,100
60014088003,0,0,0,,,0,0,1,1,0,0,0,100
60014088004,0,0,0,,,0,0,1,1,0,0,0,100
60014089001,0,0,0,,,0,0,4,4,0,0,0,100
60014089002,0,0,0,,,0,0,3,3,0,0,0,100
60014090002,0,0,0,,,0,0,6,7,0,0,0,85.71
60014090004,0,0,0,,,0,0,5,13,0,0,0,38.46
60014095001,0,0,0,,,0,0,3,3,0,0,0,100
60014095002,0,0,0,,,0,0,2,2,0,0,0,100
60014095003,0,0,0,,,0,0,2,2,0,0,0,100
60014096005,0,0,0,,,0,0,2,2,0,0,0,100
60014305002,0,0,0,,,0,0,1,1,0,0,0,100
60014334002,0,0,0,,,0,0,2,2,0,0,0,100
60014339001,0,0,0,,,0,0,2,2,0,0,0,100
60014339002,0,0,0,,,0,0,2,2,0,0,0,100
60014339003,0,0,0,,,0,0,2,2,0,0,0,100
60014403041,0,0,0,,,0,0,2,2,0,0,0,100
60014403361,0,0,0,,,0,0,1,1,0,0,0,100
60014415032,0,0,0,,,0,0,2,4,0,0,0,50
60014415212,0,0,0,,,0,0,1,1,0,0,0,100
60014415231,0,0,0,,,0,0,1,2,0,0,0,50
60014415232,0,0,0,,,0,0,1,2,0,0,0,50
60014418001,0,0,0,,,0,0,1,1,0,0,0,100
60014419211,0,0,0,,,0,0,2,2,0,0,0,100
60014419212,0,0,0,,,0,0,2,2,0,0,0,100
60014426011,0,0,0,,,0,0,2,2,0,0,0,100
60014426012,0,0,0,,,0,0,1,1,0,0,0,100
60014427001,0,0,0,,,0,0,2,2,0,0,0,100
60014441001,0,0,0,,,0,0,3,4,0,0,0,75
60014441002,0,0,0,,,0,0,2,3,0,0,0,66.67
60014441003,0,0,0,,,0,0,2,2,0,0,0,100
60014441004,0,0,0,,,0,0,2,4,0,0,0,50
60014442001,0,0,0,,,0,0,1,2,0,0,0,50
60014442003,0,0,0,,,0,0,1,3,0,0,0,33.33
60014444001,0,0,0,,,0,0,1,1,0,0,0,100
60014444002,0,0,0,,,0,0,2,2,0,0,0,100
60014445001,0,0,0,,,0,0,2,2,0,0,0,100
60014445002,0,0,0,,,0,0,4,4,0,0,0,100
60014445003,0,0,0,,,0,0,3,3,0,0,0,100
60014506032,0,0,0,,,0,0,1,1,0,0,0,100
60014506061,0,0,0,,,0,0,1,1,0,0,0,100
60133131011,0,0,0,,,0,0,2,2,0,0,0,100
60133131012,0,0,0,,,0,0,2,2,0,0,0,100
60133131033,0,0,0,,,0,0,4,4,0,0,0,100
60133132041,0,0,0,,,0,0,2,2,0,0,0,100
60290009043,0,0,0,,,0,0,1,1,0,0,0,100
60290012011,0,0,0,,,0,0,1,1,0,0,0,100
60290013001,0,0,0,,,0,0,2,2,0,0,0,100
60290013002,0,0,0,,,0,0,2,2,0,0,0,100
