"WELL_ID","PRF1","PRF2","PRF3","PL1","PL2","risk","LATITUDE","LONGITUDE","SOURCE"
"01043002",1,0,4.78,"NO3N","","high",36.855765,-121.703419,"LOCALGW"
"0105014-001",0,0,NA,"","","low",37.628611,-122.028611,"DHS"
"0105016-001",0,0,NA,"","","low",37.754659,-121.575644,"DHS"
"0105019-001",0,0,NA,"","","low",37.57306,-121.88479,"DHS"
"01050601",1,0,1.59,"NO3N","","high",36.828356,-121.676089,"LOCALGW"
"0110001-002",0,0,NA,"","","low",37.583333,-121.983333,"DHS"
"0110001-008",0,0,NA,"","","low",37.561774,-121.979669,"DHS"
"0110001-011",0,0,NA,"","","low",37.562432,-121.979327,"DHS"
"0110001-016",0,0,NA,"","","low",37.577426,-121.991034,"DHS"
"0110001-019",0,0,NA,"","","low",37.56505,-121.977913,"DHS"
"0110001-020",0,0,NA,"","","low",37.56531,-121.978,"DHS"
"0110001-021",0,0,NA,"","","low",37.565561,-121.978125,"DHS"
"0110001-022",0,0,NA,"","","low",37.565204,-121.977622,"DHS"
"0110001-023",0,0,NA,"","","low",37.56602,-121.978535,"DHS"
"0110001-024",0,0,NA,"","","low",37.566251,-121.978708,"DHS"
"0110001-025",0,0,NA,"","","low",37.566489,-121.978881,"DHS"
"0110001-036",0,0,NA,"","","low",37.561917,-121.979211,"DHS"
"0110001-037",0,0,NA,"","","low",37.561879,-121.98039,"DHS"
"0110001-044",0,0,NA,"","","low",37.566457,-121.978268,"DHS"
"0110003-005",1,0,1.0975,"CR6","","high",37.676152,-121.760281,"DHS"
"0110003-006",0,0,NA,"","","low",37.681961,-121.779067,"DHS"
"0110003-007",0,2,NA,"","CR6; NO3N","med",37.680161,-121.757127,"DHS"
"0110003-008",1,2,1.27924789976106,"PCE","PCE; NO3N","high",37.690106,-121.781655,"DHS"
"0110003-009",1,0,1.04276397848514,"NO3N","","high",37.683331,-121.76268,"DHS"
"0110003-010",0,0,NA,"","","low",37.682753,-121.78573,"DHS"
"0110003-011",0,0,NA,"","","low",37.67691,-121.763942,"DHS"
"0110003-012",1,0,1.2,"NO3N","","high",37.685899,-121.762631,"DHS"
"0110003-013",1,0,1.08009359415236,"NO3N","","high",37.687846,-121.778009,"DHS"
"0110003-014",0,0,NA,"","","low",37.676878,-121.795501,"DHS"
"0110003-015",0,0,NA,"","","low",37.682975,-121.799819,"DHS"
"0110003-021",0,0,NA,"","","low",37.683082,-121.789807,"DHS"
"0110008-001",0,0,NA,"","","low",37.672069,-121.872138,"DHS"
"0110008-002",0,0,NA,"","","low",37.672896,-121.872233,"DHS"
"0110008-003",0,0,NA,"","","low",37.683333,-121.9,"DHS"
"0110008-004",0,0,NA,"","","low",37.676552,-121.860434,"DHS"
"0110019-001",0,0,NA,"","","low",37.59862,-121.94063,"DHS"
"01N07E26H003M",0,1,NA,"","NO3N","med",37.906,-121.166,"DWR"
"01N09E16F001M",0,0,NA,"","","low",37.9396,-120.993,"DWR"
"01N09E26A001M",0,0,NA,"","","low",37.9144,-120.948,"DWR"
"01S06E23C003M",1,0,1.09,"BA","","high",37.841,-121.286,"DWR"
"01S07E21G001M",1,0,1.0275,"NO3N","","high",37.8344,-121.206,"DWR"
"01S09E11J002M",0,0,NA,"","","low",37.8616,-120.946,"DWR"
"01S09E33P001M",0,0,NA,"","","low",37.7991,-120.989,"DWR"
"0202501-001",0,0,NA,"","","low",33.549167,-116.151583,"DHS"
"0202502-001",0,0,NA,"","","low",38.776673,-119.822669,"DHS"
"0202503-001",0,0,NA,"","","low",38.773194,-119.818527,"DHS"
"0202503-002",0,0,NA,"","","low",36.903891,-119.911994,"DHS"
"0202504-003",0,1,NA,"","AS","med",38.691725,-119.80236,"DHS"
"0202506-001",0,0,NA,"","","low",38.703448,-120.051634,"DHS"
"0202512-001",0,0,NA,"","","low",38.774371,-119.903141,"DHS"
"0202515-001",0,0,NA,"","","low",38.682734,-119.752786,"DHS"
"0202516-001",0,0,NA,"","","low",38.776888,-119.899472,"DHS"
"0202519-001",0,0,NA,"","","low",37.911139,-122.004674,"DHS"
"0202520-001",0,0,NA,"","","low",38.775638,-119.893472,"DHS"
"0202522-001",0,0,NA,"","","low",38.757113,-119.818377,"DHS"
"0202523-001",0,0,NA,"","","low",38.537918,-119.825108,"DHS"
"0202524-001",0,0,NA,"","","low",38.4885,-119.807555,"DHS"
"0202525-001",0,0,NA,"","","low",38.488111,-119.804944,"DHS"
"0202532-001",0,0,NA,"","","low",38.764944,-119.848805,"DHS"
"0202542-001",0,0,NA,"","","low",38.488111,-119.804944,"DHS"
"0202547-001",0,0,NA,"","","low",38.403063,-119.803046,"DHS"
"0202548-001",0,0,NA,"","","low",38.406833,-119.790123,"DHS"
"0202549-002",0,0,NA,"","","low",38.491423,-120.037016,"DHS"
"0202550-001",0,0,NA,"","","low",38.76925,-119.816333,"DHS"
"0202552-001",0,0,NA,"","","low",38.631431,-119.937809,"DHS"
"0202554-001",0,0,NA,"","","low",38.612423,-119.926069,"DHS"
"0202556-001",0,0,NA,"","","low",38.639957,-119.955477,"DHS"
"0202562-001",0,0,NA,"","","low",38.404138,-119.787305,"DHS"
"0202563-001",0,0,NA,"","","low",38.403951,-119.790209,"DHS"
"0202564-001",0,0,NA,"","","low",38.404102,-119.789091,"DHS"
"0202565-001",0,0,NA,"","","low",38.404111,-119.791555,"DHS"
"0202566-001",0,0,NA,"","","low",38.404222,-119.790888,"DHS"
"0202567-001",0,0,NA,"","","low",38.404102,-119.789091,"DHS"
"0202599-001",0,0,NA,"","","low",38.810166,-119.7805,"DHS"
"0210002-002",1,0,4.5,"BIS2EHP","","high",38.692305,-120.069917,"DHS"
"0210002-005",0,0,NA,"","","low",38.687721,-120.070244,"DHS"
"0210002-006",0,0,NA,"","","low",38.692793,-120.070195,"DHS"
"0210003-001",0,0,NA,"","","low",38.709112,-120.039057,"DHS"
"02N02W02G001H",0,0,NA,"","","low",40.5876,-124.262,"DWR"
"02S09E12R001M",0,0,NA,"","","low",37.7702,-120.926,"DWR"
"02S09E19B002M",1,0,1.3,"NO3N","","high",37.7549,-121.022,"DWR"
"0300006-001",0,0,NA,"","","low",38.552527,-120.231138,"DHS"
"0300011-001",1,0,1.22666666666667,"ALPHA","","high",38.360361,-120.749472,"DHS"
"0300016-001",0,0,NA,"","","low",38.444444,-120.63,"DHS"
"0300016-002",0,0,NA,"","","low",38.443888,-120.630638,"DHS"
"0300016-003",0,0,NA,"","","low",38.443888,-120.630555,"DHS"
"0300019-001",0,0,NA,"","","low",38.506,-120.761167,"DHS"
"0300019-003",0,0,NA,"","","low",38.505855,-120.761282,"DHS"
"0300022-005",0,0,NA,"","","low",38.543437,-120.228516,"DHS"
"0300024-002",0,1,NA,"","PB","med",38.406164,-120.646699,"DHS"
"0300025-001",0,0,NA,"","","low",38.544055,-120.377472,"DHS"
"0300028-001",0,0,NA,"","","low",38.542112,-120.792511,"DHS"
"0300034-002",0,0,NA,"","","low",38.533717,-120.229723,"DHS"
"0300036-001",0,0,NA,"","","low",38.550553,-120.25612,"DHS"
"0300043-001",0,0,NA,"","","low",38.478638,-120.523472,"DHS"
"0300046-001",0,0,NA,"","","low",38.475888,-120.525805,"DHS"
"0300046-002",0,0,NA,"","","low",38.475936,-120.526005,"DHS"
"0300048-001",0,0,NA,"","","low",38.491824,-120.513015,"DHS"
"0300051-001",0,0,NA,"","","low",38.478639,-120.523472,"DHS"
"0300051-002",0,0,NA,"","","low",38.669188,-120.117463,"DHS"
"0300052-001",0,0,NA,"","","low",38.525611,-120.433333,"DHS"
"0300052-002",0,0,NA,"","","low",38.475936,-120.526005,"DHS"
"0300053-001",0,0,NA,"","","low",38.482688,-120.859474,"DHS"
"0300053-003",0,0,NA,"","","low",38.482073,-120.859008,"DHS"
"0300055-001",0,0,NA,"","","low",38.357638,-120.826777,"DHS"
"0300060-001",0,0,NA,"","","low",38.482688,-120.859474,"DHS"
"0300062-002",1,0,2.47367311199459,"VC","","high",38.481031,-121.010336,"DHS"
"0300064-001",0,0,NA,"","","low",38.454812,-120.917224,"DHS"
"0300065-001",0,0,NA,"","","low",38.538416,-120.215361,"DHS"
"0300076-002",0,0,NA,"","","low",38.705615,-120.089994,"DHS"
"0300077-003",0,0,NA,"","","low",38.540553,-120.789647,"DHS"
"0300080-002",0,0,NA,"","","low",38.625833,-120.129444,"DHS"
"0300081-001",0,0,NA,"","","low",38.504986,-120.824778,"DHS"
"0300083-001",0,0,NA,"","","low",38.496603,-120.822842,"DHS"
"0300085-001",0,0,NA,"","","low",38.374617,-120.616476,"DHS"
"0300085-002",0,0,NA,"","","low",38.374795,-120.620891,"DHS"
"0300086-001",0,0,NA,"","","low",38.327365,-120.737147,"DHS"
"0300087-001",0,0,NA,"","","low",38.31,-120.492777,"DHS"
"0300088-001",0,0,NA,"","","low",38.431129,-120.625761,"DHS"
"0300089-001",0,0,NA,"","","low",38.515721,-120.821986,"DHS"
"0300090-001",0,0,NA,"","","low",38.526632,-120.812975,"DHS"
"0300091-001",0,0,NA,"","","low",38.456972,-120.915631,"DHS"
"0300092-001",0,0,NA,"","","low",38.53727,-120.781576,"DHS"
"0300095-001",0,0,NA,"","","low",38.52073,-120.811497,"DHS"
"0300096-001",0,0,NA,"","","low",38.521812,-120.817174,"DHS"
"0300097-001",0,0,NA,"","","low",38.508951,-120.802181,"DHS"
"0300099-001",0,0,NA,"","","low",38.530885,-120.809237,"DHS"
"0300101-001",0,0,NA,"","","low",38.543568,-120.797716,"DHS"
"0300102-001",0,0,NA,"","","low",38.464498,-120.85723,"DHS"
"0300107-001",0,0,NA,"","","low",38.456962,-120.915619,"DHS"
"0300108-001",0,0,NA,"","","low",38.455492,-120.887847,"DHS"
"0300110-001",0,0,NA,"","","low",38.539542,-120.792624,"DHS"
"0300112-001",0,0,NA,"","","low",38.515359,-120.825278,"DHS"
"0300448-002",0,0,NA,"","","low",38.407801,-120.648805,"DHS"
"0300518-001",0,0,NA,"","","low",38.554278,-120.831694,"DHS"
"0300627-001",0,0,NA,"","","low",38.491842,-120.512424,"DHS"
"0300649-001",0,0,NA,"","","low",38.554277,-120.831694,"DHS"
"0300649-002",0,0,NA,"","","low",38.554402,-120.831693,"DHS"
"0300667-001",0,0,NA,"","","low",38.469055,-120.614027,"DHS"
"0300667-002",0,0,NA,"","","low",38.466748,-120.613445,"DHS"
