MTRS,DomWellCou,Count of chemical constituents above MCL,Count of chemical constituents within 80% of MCL,Average MCL Index (for results above MCL),List of chemical constituents above MCL,List of chemical constituents within 80% of MCL,Section Risk Category
H01N01E01,0,,,,,,
H01N01E02,0,,,,,,
H01N01E03,0,,,,,,
H01N01E04,0,,,,,,
H01N01E05,2,,,,,,
H01N01E06,9,,,,,,
H01N01E07,0,,,,,,
H01N01E08,0,,,,,,
H01N01E09,0,,,,,,
H01N01E10,0,,,,,,
H01N01E11,0,,,,,,
H01N01E12,0,,,,,,
H01N01E13,0,,,,,,
H01N01E14,0,,,,,,
H01N01E15,0,,,,,,
H01N01E16,1,,,,,,
H01N01E17,0,,,,,,
H01N01E18,0,,,,,,
H01N01E19,1,,,,,,
H01N01E20,0,,,,,,
H01N01E21,0,,,,,,
H01N01E22,6,,,,,,
H01N01E23,0,,,,,,
H01N01E24,1,,,,,,
H01N01E25,0,,,,,,
H01N01E26,2,,,,,,
H01N01E27,0,,,,,,
H01N01E28,0,,,,,,
H01N01E29,0,,,,,,
H01N01E30,0,,,,,,
H01N01E31,1,,,,,,
H01N01E32,0,,,,,,
H01N01E33,0,,,,,,
H01N01E34,0,,,,,,
H01N01E35,0,,,,,,
H01N01E36,0,,,,,,
H01N01W01,0,,,,,,
H01N01W02,0,,,,,,
H01N01W03,0,,,,,,
H01N01W04,0,,,,,,
H01N01W05,0,,,,,,
H01N01W06,0,,,,,,
H01N01W07,0,,,,,,
H01N01W08,0,,,,,,
H01N01W09,0,,,,,,
H01N01W10,0,,,,,,
H01N01W11,0,,,,,,
H01N01W12,0,,,,,,
H01N01W13,0,,,,,,
H01N01W14,0,,,,,,
H01N01W15,0,,,,,,
H01N01W16,0,,,,,,
H01N01W17,0,,,,,,
H01N01W18,0,,,,,,
H01N01W19,0,,,,,,
H01N01W20,0,,,,,,
H01N01W21,0,,,,,,
H01N01W22,0,,,,,,
H01N01W23,0,,,,,,
H01N01W24,0,,,,,,
H01N01W25,0,,,,,,
H01N01W26,0,,,,,,
H01N01W27,0,,,,,,
H01N01W28,0,,,,,,
H01N01W29,0,,,,,,
H01N01W30,0,,,,,,
H01N01W31,0,,,,,,
H01N01W32,0,,,,,,
H01N01W33,0,,,,,,
H01N01W34,0,,,,,,
H01N01W35,0,,,,,,
H01N01W36,0,,,,,,
H01N02E01,0,,,,,,
H01N02E02,0,,,,,,
H01N02E03,0,,,,,,
H01N02E04,0,,,,,,
H01N02E05,1,,,,,,
H01N02E06,5,,,,,,
H01N02E07,0,,,,,,
H01N02E08,0,,,,,,
H01N02E09,1,,,,,,
H01N02E10,0,,,,,,
H01N02E11,0,,,,,,
H01N02E12,0,,,,,,
H01N02E13,0,,,,,,
H01N02E14,0,,,,,,
H01N02E15,0,,,,,,
H01N02E16,0,,,,,,
H01N02E17,0,,,,,,
H01N02E18,0,,,,,,
H01N02E19,0,,,,,,
H01N02E20,0,,,,,,
H01N02E21,0,,,,,,
H01N02E22,0,,,,,,
H01N02E23,0,,,,,,
H01N02E24,0,,,,,,
H01N02E25,0,,,,,,
H01N02E26,0,,,,,,
H01N02E27,0,,,,,,
H01N02E28,0,,,,,,
H01N02E29,2,,,,,,
H01N02E30,0,,,,,,
H01N02E31,0,,,,,,
H01N02E32,7,,,,,,
H01N02E33,6,,,,,,
H01N02E34,7,,,,,,
H01N02E35,0,,,,,,
H01N02E36,0,,,,,,
H01N02W01,0,,,,,,
H01N02W02,0,,,,,,
H01N02W03,1,,,,,,
H01N02W04,0,,,,,,
H01N02W05,0,,,,,,
H01N02W06,0,,,,,,
H01N02W07,0,,,,,,
H01N02W08,1,,,,,,
H01N02W09,0,,,,,,
H01N02W10,0,,,,,,
H01N02W11,0,,,,,,
H01N02W12,0,,,,,,
H01N02W13,0,,,,,,
H01N02W14,0,,,,,,
H01N02W15,0,,,,,,
H01N02W16,0,,,,,,
H01N02W17,0,,,,,,
H01N02W18,0,,,,,,
H01N02W19,0,,,,,,
H01N02W20,0,,,,,,
H01N02W21,0,,,,,,
H01N02W22,0,,,,,,
H01N02W23,0,,,,,,
H01N02W24,0,,,,,,
H01N02W25,0,,,,,,
H01N02W26,0,,,,,,
H01N02W27,0,,,,,,
H01N02W28,0,,,,,,
H01N02W29,0,,,,,,
H01N02W30,0,,,,,,
H01N02W31,0,,,,,,
H01N02W32,0,,,,,,
H01N02W33,0,,,,,,
H01N02W34,0,,,,,,
H01N02W35,0,,,,,,
H01N02W36,0,,,,,,
H01N03E01,0,,,,,,
H01N03E02,0,,,,,,
H01N03E03,0,,,,,,
H01N03E04,0,,,,,,
H01N03E05,0,,,,,,
H01N03E06,0,,,,,,
H01N03E07,5,,,,,,
H01N03E08,3,,,,,,
H01N03E09,0,,,,,,
H01N03E10,0,0,0,0,,,low
H01N03E11,0,0,0,0,,,low
H01N03E12,2,0,0,0,,,low
H01N03E13,0,0,0,0,,,low
H01N03E14,0,0,0,0,,,low
H01N03E15,0,0,0,0,,,low
H01N03E16,10,,,,,,
H01N03E17,1,,,,,,
H01N03E18,0,,,,,,
H01N03E19,0,,,,,,
H01N03E20,0,,,,,,
H01N03E21,0,,,,,,
H01N03E22,0,0,0,0,,,low
H01N03E23,0,0,0,0,,,low
