"GU_ID"	"GU_Name"	"GU_Type"	"AreaKm"	"RelatedGWB"	"dom_section_n"	"dom_well_n"	"avgmax_dom"	"avgmaxsd_dom"	"avgmin_dom"	"avgminsd_dom"	"maxdomestic"	"mindomestic"	"pub_section_n"	"pub_well_n"	"avgmax_pub"	"avgmaxsd_pub"	"maxpublic"	"percent_max"	"comparison"	"public_shallow"	"use_public_as_dom"
"1-1"	"SMITH RIVER PLAIN"	"Groundwater Basin"	163.775556494	"1-1"	71	1351	86.4366197183099	72.4964496459489	35.7042253521127	47.5720188965252	303.925968656157	-107.011831337463	9	14	45.7777777777778	12.3468394516348	82.8182961326821	114.343090592021	"different"	"shallower"	"yes"
"1-10"	"EEL RIVER VALLEY"	"Groundwater Basin"	298.420402521	"1-10"	89	380	184.76404494382	140.361467005073	74.7415730337079	68.9097776559202	605.848445959039	-131.987759934053	18	26	233.611111111111	199.609954628841	832.440974997635	31.5086137375438	"different"	"deeper"	"no"
"1-11"	"COVELO ROUND VALLEY"	"Groundwater Basin"	66.4042296602	"1-11"	35	302	196.8	77.2702667113752	81.7142857142857	54.231839697495	428.610800134126	-80.9812333781991	4	6	215.75	107.914703971856	539.494111915568	22.9072924641355	"different"	"deeper"	"no"
"1-12"	"LAYTONVILLE VALLEY"	"Groundwater Basin"	20.3303986133	"1-12"	20	257	291.55	122.466955800975	60.45	72.8729788922587	658.950867402924	-158.168936676776	3	6	427.333333333333	233.857506472068	1128.90585274954	52.5718845419042	"different"	"deeper"	"no"
"1-13"	"LITTLE LAKE VALLEY"	"Groundwater Basin"	40.5716189863	"1-13"	31	318	269.322580645161	97.939909160932	69.8064516129032	62.0260264484938	563.142308127957	-116.271627732578	5	5	200.2	71.6986750226251	415.296025067875	30.2208689181622	"different"	"shallower"	"yes"
"1-14"	"LOWER KLAMATH RIVER VALLEY"	"Groundwater Basin"	28.4491424238	"1-14"	20	59	88.5	64.1974749462445	51.1	23.6173442065026	281.092424838733	-19.7520326195078	7	13	94.2857142857143	26.2342923525315	172.988591343309	47.6143373728204	"different"	"shallower"	"yes"
"1-15"	"HAPPY CAMP TOWN AREA"	"Groundwater Basin"	11.223230457	"1-15"	12	27	203.166666666667	88.082433841914	135.083333333333	78.1565542337747	467.413968192409	-99.3863293679908	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-16"	"SEIAD VALLEY"	"Groundwater Basin"	9.08584062011	"1-16"	7	58	260.857142857143	161.924291539213	67	63.2745341086496	746.630017474783	-122.823602325949	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-17"	"BRAY TOWN AREA"	"Groundwater Basin"	32.5053790391	"1-17"	4	6	324.25	183.754138275396	318	174.859943955155	875.512414826188	-206.579831865466	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-18"	"RED ROCK VALLEY"	"Groundwater Basin"	36.4248480381	"1-18"	10	19	276.5	75.6075393066062	216.1	117.312924361394	503.322617919819	-135.838773084183	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-19"	"ANDERSON VALLEY"	"Groundwater Basin"	20.1236546797	"1-19"	20	367	275.7	84.6187113810502	60.05	40.0190415203878	529.556134143151	-60.0071245611635	6	8	190.333333333333	156.193042952196	658.912462189923	21.7685731782717	"different"	"deeper"	"no"
"1-2"	"KLAMATH RIVER VALLEY"	"Groundwater Basin"	652.922270997	"1-2"	83	165	176.373493975904	148.167975773985	127.879518072289	133.019748908818	620.87742129786	-271.179728654164	3	4	1076.33333333333	1459.293436336	5454.21364234133	159.11979492693	"different"	"deeper"	"no"
"1-20"	"GARCIA RIVER VALLEY"	"Groundwater Basin"	9.08008757226	"1-20"	10	58	136.3	75.4689781742582	44.3	21.6797396458332	362.706934522775	-20.7392189374996	2	3	57.5	3.53553390593274	507.5	33.2778468506759	"different"	"deeper"	"no"
"1-21"	"FORT BRAGG TERRACE AREA"	"Groundwater Basin"	97.5347984551	"1-21"	105	2578	234.657142857143	106.426918638984	49.5904761904762	46.5852599744431	553.937898774096	-90.165303732853	27	54	166.666666666667	97.860575860212	460.248394247303	18.4757978236286	"different"	"shallower"	"yes"
"1-22"	"FAIRCHILD SWAMP VALLEY"	"Groundwater Basin"	13.265105645	"1-22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-25"	"PRAIRIE CREEK AREA"	"Groundwater Basin"	81.040056209	"1-25"	4	8	104	24.6035227829946	81	36.5330900235207	177.810568348984	-28.5992700705621	1	1	85	NA	535	100.220015670739	"different"	"deeper"	"no"
"1-26"	"REDWOOD CREEK AREA"	"Groundwater Basin"	8.0807589668	"1-26"	5	14	76	39.6736688497547	44	20.5426385841741	195.021006549264	-17.6279157525224	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-27"	"BIG LAGOON AREA"	"Groundwater Basin"	54.0294369844	"1-27"	18	93	165.888888888889	90.3391576155811	59.1666666666667	45.662766399925	436.906361735632	-77.8216325331083	4	4	167.75	66.5150358941495	367.295107682449	17.3118942703634	"different"	"shallower"	"yes"
"1-28"	"MATTOLE RIVER VALLEY"	"Groundwater Basin"	12.7546618965	"1-28"	4	18	93.25	45.043497495939	65	13.5154232884755	228.380492487817	24.4537301345734	1	3	80	NA	530	79.5430553659786	"different"	"deeper"	"no"
"1-29"	"HONEYDEW TOWN AREA"	"Groundwater Basin"	9.59115545507	"1-29"	6	16	116.166666666667	68.8198130385913	48.3333333333333	18.3484785926972	322.626105782441	-6.71210244475821	1	1	60	NA	510	45.0079316313243	"different"	"deeper"	"no"
"1-3"	"BUTTE VALLEY"	"Groundwater Basin"	322.694893522	"1-3"	81	253	264.839506172839	231.328038550784	189.839506172839	212.756166584551	958.823621825192	-448.428993580813	5	6	373.8	487.103377118246	1835.11013135474	62.7277943531908	"different"	"deeper"	"no"
