"GEOID","CRF1","CRF2","CRF3","CL1","CL2","highsec","medsec","datasec","areasec","usgsdw_sum","oswcrdw_sum","CRF4","oswcr_per","usgs_per","wq_score","wq_per","datacov"
"060014017002",0,0,0,"","",0,0,1,3,0,0,0,0,0,0,0,33.33
"060014017003",0,0,0,"","",0,0,1,7,0,0,0,0,0,0,0,14.29
"060014018002",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014022001",0,0,0,"","",0,0,2,4,0,0,0,0,0,0,0,50
"060014027002",0,0,0,"","",0,0,1,4,0,0,0,0,0,0,0,25
"060014061002",0,0,0,"","",0,0,1,4,0,0,0,0,0,0,0,25
"060014073001",0,0,0,"","",0,0,2,4,0,0,0,0,0,0,0,50
"060014073002",0,0,0,"","",0,0,2,4,0,0,0,0,0,0,0,50
"060014075002",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014078001",0,0,0,"","",0,0,1,3,0,0,0,0,0,0,0,33.33
"060014078002",0,0,0,"","",0,0,1,4,0,0,0,0,0,0,0,25
"060014079001",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014079002",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014079003",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014082001",0,0,0,"","",0,0,1,3,0,0,0,0,0,0,0,33.33
"060014083001",0,0,0,"","",0,0,1,3,0,0,0,0,0,0,0,33.33
"060014084001",0,0,0,"","",0,0,1,3,0,0,0,0,0,0,0,33.33
"060014085001",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014085002",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014085003",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014085004",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014085005",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014086001",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014086002",0,0,0,"","",0,0,2,3,0,0,0,0,0,0,0,66.67
"060014086003",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014086004",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014087002",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014087003",0,0,0,"","",0,0,2,4,0,0,0,0,0,0,0,50
"060014087004",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014087005",0,0,0,"","",0,0,1,3,0,0,0,0,0,0,0,33.33
"060014088001",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014088002",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014088003",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014088004",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014089001",0,0,0,"","",0,0,4,4,0,0,0,0,0,0,0,100
"060014089002",0,0,0,"","",0,0,3,3,0,0,0,0,0,0,0,100
"060014090002",0,0,0,"","",0,0,6,7,0,0,0,0,0,0,0,85.71
"060014090004",0,0,0,"","",0,0,5,13,0,0,0,0,0,0,0,38.46
"060014095001",0,0,0,"","",0,0,3,3,0,0,0,0,0,0,0,100
"060014095002",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014095003",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014096005",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014305002",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014334002",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014339001",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014339002",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014339003",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014403041",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014403361",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014415032",0,0,0,"","",0,0,2,4,0,0,0,0,0,0,0,50
"060014415212",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014415231",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014415232",0,0,0,"","",0,0,1,2,0,0,0,0,0,0,0,50
"060014418001",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014419211",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014419212",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014426011",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014426012",0,0,0,"","",0,0,1,1,0,0,0,0,0,0,0,100
"060014427001",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014441001",0,0,0,"","",0,0,3,4,0,0,0,0,0,0,0,75
"060014441002",0,0,0,"","",0,0,2,3,0,0,0,0,0,0,0,66.67
"060014441003",0,0,0,"","",0,0,2,2,0,0,0,0,0,0,0,100
"060014441004",0,0,0,"","",0,0,2,4,0,0,0,0,0,0,0,50
